tag,collection_year,collection_month,collection_date,broodstock,set_date,distribution_date,total_live,clumps,shell_height_mm,organization,Site,,,,,,,,,,,,,,,shell_height_mm
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,10,31,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,10,31,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,7,7/22/18,GK,3/28/17,7/13/18,46,10,41,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,2,27,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,2,24,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,3,22,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,3,31,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,3,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,3,35,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,30,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,27,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,19,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,33,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,26,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,27,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,4,32,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,5,29,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,5,32,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,6,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,6,24,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,8,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,9,45,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,9,37,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,10,25,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2018,10,10/27/18,GK,3/28/17,7/13/18,22,10,31,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,3,30,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,3,38,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,3,47,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
,2019,4,4/13/19,GK,3/28/17,7/13/18,17,3,34,Gowanus Dredgers,2nd Street Sponge Park,,,,,,,,,,,,,,,
